"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"Camden","Runnemede","5","1","8,468","8,468","8,468","8,468","8,468","8,376","8,381","8,382","8,390","8,318","-1.09","-1.03","-1.02","-0.92","-1.77","5,602","5,679","5,679","5,852","-","1,027","1,033","1,015","1,462","-","18.33","18.19","17.87","24.98","-","458","520","714","702","-","5.43","6.18","8.51","8.37","-","400","400","400","400","400","4.72","4.72","4.72","4.72","4.72","223","223","223","223","223","2.63","2.63","2.63","2.63","2.63","516","516","516","516","516","6.09","6.09","6.09","6.09","6.09","490","490","490","490","490","5.79","5.79","5.79","5.79","5.79","1,241","1,241","1,241","1,241","1,241","14.66","14.66","14.66","14.66","14.66"
"Morris","Madison","27","11","15,845","15,845","15,845","15,845","15,845","16,122","16,126","16,072","16,033","16,522","1.75","1.77","1.43","1.19","4.27","10,196","10,080","10,086","10,152","-","6,657","6,597","3,611","6,874","-","65.29","65.45","35.8","67.71","-","2,317","2,192","2,387","2,262","-","14.44","13.62","14.84","14.07","-","469","469","469","469","469","2.96","2.96","2.96","2.96","2.96","873","873","873","873","873","5.51","5.51","5.51","5.51","5.51","1,406","1,406","1,406","1,406","1,406","8.87","8.87","8.87","8.87","8.87","938","938","938","938","938","5.92","5.92","5.92","5.92","5.92","2,256","2,256","2,256","2,256","2,256","14.24","14.24","14.24","14.24","14.24"
"Morris","Lincoln Park","26","11","10,521","10,521","10,521","10,521","10,521","10,482","10,405","10,442","10,468","10,246","-0.37","-1.1","-0.75","-0.5","-2.61","7,923","7,761","7,782","7,713","-","2,841","2,762","1,657","2,843","-","35.86","35.59","21.29","36.86","-","1,857","1,794","1,793","1,669","-","17.66","17.12","17.1","15.95","-","193","193","193","193","193","1.83","1.83","1.83","1.83","1.83","776","776","776","776","776","7.38","7.38","7.38","7.38","7.38","1,009","1,009","1,009","1,009","1,009","9.59","9.59","9.59","9.59","9.59","536","536","536","536","536","5.09","5.09","5.09","5.09","5.09","1,673","1,673","1,673","1,673","1,673","15.9","15.9","15.9","15.9","15.9"
"Morris","Mine Hill","25","7","3,651","3,651","3,651","3,651","3,651","3,657","3,578","3,599","3,593","3,531","0.16","-2","-1.42","-1.59","-3.29","2,439","2,332","2,354","2,415","-","634","625","515","747","-","25.99","26.8","21.88","30.93","-","737","691","633","734","-","20.11","18.94","17.42","20.34","-","168","168","168","168","168","4.6","4.6","4.6","4.6","4.6","181","181","181","181","181","4.96","4.96","4.96","4.96","4.96","840","840","840","840","840","23.01","23.01","23.01","23.01","23.01","205","205","205","205","205","5.61","5.61","5.61","5.61","5.61","447","447","447","447","447","12.24","12.24","12.24","12.24","12.24"
"Morris","Mendham","25","11","4,981","4,981","4,981","4,981","4,981","4,999","5,001","4,988","4,978","4,910","0.36","0.4","0.14","-0.06","-1.43","3,287","3,280","3,395","3,450","-","2,187","2,203","1,266","2,332","-","66.53","67.16","37.29","67.59","-","299","253","321","325","-","5.97","5.04","6.4","6.51","-","51","51","51","51","51","1.02","1.02","1.02","1.02","1.02","102","102","102","102","102","2.05","2.05","2.05","2.05","2.05","135","135","135","135","135","2.71","2.71","2.71","2.71","2.71","260","260","260","260","260","5.22","5.22","5.22","5.22","5.22","946","946","946","946","946","18.99","18.99","18.99","18.99","18.99"
"Morris","Morris Twp","25","11","22,306","22,306","22,306","22,306","22,306","22,573","22,633","22,580","22,489","22,207","1.2","1.47","1.23","0.82","-0.44","4,050","16,196","16,268","16,653","-","2,160","11,161","5,844","11,635","-","53.33","68.91","35.92","69.87","-","549","2,533","2,588","2,872","-","9.74","11.22","11.5","12.77","-","1,261","1,261","1,261","1,261","1,261","5.65","5.65","5.65","5.65","5.65","1,141","1,141","1,141","1,141","1,141","5.12","5.12","5.12","5.12","5.12","1,683","1,683","1,683","1,683","1,683","7.55","7.55","7.55","7.55","7.55","1,339","1,339","1,339","1,339","1,339","6","6","6","6","6","3,890","3,890","3,890","3,890","3,890","17.44","17.44","17.44","17.44","17.44"
"Morris","Montville","26","11","21,528","21,528","21,528","21,528","21,528","21,842","21,850","21,700","21,681","21,330","1.46","1.5","0.8","0.71","-0.92","14,789","15,002","15,159","14,944","-","9,135","9,146","5,153","9,417","-","61.77","60.97","33.99","63.02","-","4,257","4,327","4,264","4,352","-","19.59","19.89","19.61","20.02","-","275","275","275","275","275","1.28","1.28","1.28","1.28","1.28","3,890","3,890","3,890","3,890","3,890","18.07","18.07","18.07","18.07","18.07","900","900","900","900","900","4.18","4.18","4.18","4.18","4.18","1,062","1,062","1,062","1,062","1,062","4.93","4.93","4.93","4.93","4.93","3,132","3,132","3,132","3,132","3,132","14.55","14.55","14.55","14.55","14.55"
"Morris","Mount Olive","24","7","28,117","28,117","28,117","28,117","28,117","28,921","29,055","29,130","29,253","29,051","2.86","3.34","3.6","4.04","3.32","4,024","19,401","19,444","19,480","-","1,548","8,529","5,299","8,547","-","38.47","43.96","27.25","43.88","-","383","4,607","4,967","5,068","-","7.45","16.06","17.22","17.47","-","1,614","1,614","1,614","1,614","1,614","5.74","5.74","5.74","5.74","5.74","2,315","2,315","2,315","2,315","2,315","8.23","8.23","8.23","8.23","8.23","3,237","3,237","3,237","3,237","3,237","11.51","11.51","11.51","11.51","11.51","1,802","1,802","1,802","1,802","1,802","6.41","6.41","6.41","6.41","6.41","2,531","2,531","2,531","2,531","2,531","9","9","9","9","9"
"Morris","Morristown","25","11","18,411","18,411","18,411","18,411","18,411","19,085","18,594","19,016","19,037","19,145","3.66","0.99","3.29","3.4","3.99","13,861","13,904","13,665","13,853","-","6,417","6,550","3,829","7,078","-","46.3","47.11","28.02","51.09","-","6,311","6,300","5,896","6,106","-","33.97","33.94","31.57","32.42","-","2,572","2,572","2,572","2,572","2,572","13.97","13.97","13.97","13.97","13.97","799","799","799","799","799","4.34","4.34","4.34","4.34","4.34","6,277","6,277","6,277","6,277","6,277","34.09","34.09","34.09","34.09","34.09","1,075","1,075","1,075","1,075","1,075","5.84","5.84","5.84","5.84","5.84","2,110","2,110","2,110","2,110","2,110","11.46","11.46","11.46","11.46","11.46"
"Salem","Oldmans","3","2","1,773","1,773","1,773","1,773","1,773","1,849","1,829","1,810","1,792","1,795","4.29","3.16","2.09","1.07","1.24","1,340","1,266","1,278","1,215","-","304","326","217","303","-","22.69","25.75","16.98","24.94","-","77","54","68","70","-","4.02","3","3.72","4.08","-","137","137","137","137","137","7.73","7.73","7.73","7.73","7.73","16","16","16","16","16","0.9","0.9","0.9","0.9","0.9","124","124","124","124","124","6.99","6.99","6.99","6.99","6.99","105","105","105","105","105","5.92","5.92","5.92","5.92","5.92","238","238","238","238","238","13.42","13.42","13.42","13.42","13.42"
"Salem","Pennsville","3","2","13,409","13,409","13,409","13,409","13,409","13,005","12,827","12,677","12,499","12,456","-3.01","-4.34","-5.46","-6.79","-7.11","9,312","9,312","9,275","9,224","-","1,781","1,563","1,080","1,617","-","19.13","16.78","11.64","17.53","-","501","583","523","541","-","3.79","4.47","4.05","4.25","-","206","206","206","206","206","1.54","1.54","1.54","1.54","1.54","190","190","190","190","190","1.42","1.42","1.42","1.42","1.42","411","411","411","411","411","3.07","3.07","3.07","3.07","3.07","720","720","720","720","720","5.37","5.37","5.37","5.37","5.37","2,090","2,090","2,090","2,090","2,090","15.59","15.59","15.59","15.59","15.59"
"Salem","Elsinboro","3","2","1,036","1,036","1,036","1,036","1,036","1,009","997","986","976","974","-2.61","-3.76","-4.83","-5.79","-5.98","823","763","805","811","-","127","126","106","150","-","15.43","16.51","13.17","18.5","-","7","8","6","25","-","0.65","0.77","0.53","2.15","-","36","36","36","36","36","3.47","3.47","3.47","3.47","3.47","4","4","4","4","4","0.39","0.39","0.39","0.39","0.39","23","23","23","23","23","2.22","2.22","2.22","2.22","2.22","47","47","47","47","47","4.54","4.54","4.54","4.54","4.54","211","211","211","211","211","20.37","20.37","20.37","20.37","20.37"
"Salem","Lower Alloways Creek","3","2","1,770","1,770","1,770","1,770","1,770","1,732","1,713","1,782","1,688","1,675","-2.15","-3.22","0.68","-4.63","-5.37","1,143","1,110","1,291","1,164","-","189","183","137","174","-","16.54","16.49","10.61","14.95","-","2","2","6","6","-","0.12","0.12","0.32","0.36","-","24","24","24","24","24","1.36","1.36","1.36","1.36","1.36","3","3","3","3","3","0.17","0.17","0.17","0.17","0.17","27","27","27","27","27","1.53","1.53","1.53","1.53","1.53","84","84","84","84","84","4.75","4.75","4.75","4.75","4.75","306","306","306","306","306","17.29","17.29","17.29","17.29","17.29"
"Camden","Berlin Twp","6","1","5,357","5,357","5,357","5,357","5,357","5,362","5,434","5,513","5,580","5,643","0.09","1.44","2.91","4.16","5.34","3,842","3,913","3,913","3,996","-","757","671","565","845","-","19.7","17.15","14.44","21.15","-","513","404","415","432","-","9.57","7.51","7.67","7.92","-","620","620","620","620","620","11.57","11.57","11.57","11.57","11.57","275","275","275","275","275","5.13","5.13","5.13","5.13","5.13","444","444","444","444","444","8.29","8.29","8.29","8.29","8.29","338","338","338","338","338","6.31","6.31","6.31","6.31","6.31","754","754","754","754","754","14.08","14.08","14.08","14.08","14.08"
"Camden","Camden","5","1","77,344","77,344","77,344","77,344","77,344","77,332","76,119","74,420","74,532","73,973","-0.02","-1.58","-3.78","-3.64","-4.36","43,365","43,087","42,823","43,554","-","3,571","3,463","2,522","3,617","-","8.23","8.04","5.89","8.3","-","9,770","10,456","10,250","10,775","-","12.64","13.6","13.49","14.26","-","37,180","37,180","37,180","37,180","37,180","48.07","48.07","48.07","48.07","48.07","1,637","1,637","1,637","1,637","1,637","2.12","2.12","2.12","2.12","2.12","36,379","36,379","36,379","36,379","36,379","47.04","47.04","47.04","47.04","47.04","7,125","7,125","7,125","7,125","7,125","9.21","9.21","9.21","9.21","9.21","5,840","5,840","5,840","5,840","5,840","7.55","7.55","7.55","7.55","7.55"
"Camden","Bellmawr","5","1","11,583","11,583","11,583","11,583","11,583","11,454","11,462","11,478","11,489","11,374","-1.11","-1.04","-0.91","-0.81","-1.8","8,479","8,376","8,233","8,236","-","1,232","1,277","802","1,405","-","14.53","15.25","9.74","17.06","-","1,018","1,262","1,810","2,026","-","8.82","10.97","15.74","17.65","-","285","285","285","285","285","2.46","2.46","2.46","2.46","2.46","679","679","679","679","679","5.86","5.86","5.86","5.86","5.86","890","890","890","890","890","7.68","7.68","7.68","7.68","7.68","648","648","648","648","648","5.59","5.59","5.59","5.59","5.59","1,972","1,972","1,972","1,972","1,972","17.02","17.02","17.02","17.02","17.02"
"Camden","Gloucester City","5","1","11,456","11,456","11,456","11,456","11,456","11,317","11,329","11,339","11,342","11,244","-1.21","-1.11","-1.02","-1","-1.85","43,442","7,663","7,527","7,618","-","12,031","1,448","1,081","1,480","-","27.69","18.9","14.36","19.43","-","4,875","900","877","805","-","7.58","7.9","7.72","7.1","-","352","352","352","352","352","3.07","3.07","3.07","3.07","3.07","307","307","307","307","307","2.68","2.68","2.68","2.68","2.68","767","767","767","767","767","6.7","6.7","6.7","6.7","6.7","733","733","733","733","733","6.4","6.4","6.4","6.4","6.4","1,466","1,466","1,466","1,466","1,466","12.8","12.8","12.8","12.8","12.8"
"Camden","Collingswood","6","1","13,926","13,926","13,926","13,926","13,926","13,962","14,000","14,010","14,027","13,916","0.26","0.53","0.6","0.73","-0.07","10,171","10,251","10,315","10,429","-","4,302","4,511","2,760","4,563","-","42.3","44.01","26.76","43.75","-","965","735","618","541","-","6.93","5.28","4.44","3.87","-","1,268","1,268","1,268","1,268","1,268","9.11","9.11","9.11","9.11","9.11","307","307","307","307","307","2.2","2.2","2.2","2.2","2.2","1,347","1,347","1,347","1,347","1,347","9.67","9.67","9.67","9.67","9.67","871","871","871","871","871","6.25","6.25","6.25","6.25","6.25","1,880","1,880","1,880","1,880","1,880","13.5","13.5","13.5","13.5","13.5"
"Camden","Clementon","4","1","5,000","5,000","5,000","5,000","5,000","4,940","4,947","4,925","4,959","4,945","-1.2","-1.06","-1.5","-0.82","-1.1","3,507","3,481","3,442","3,374","-","612","623","526","657","-","17.45","17.9","15.28","19.47","-","171","175","412","378","-","3.44","3.52","8.37","7.66","-","956","956","956","956","956","19.12","19.12","19.12","19.12","19.12","105","105","105","105","105","2.1","2.1","2.1","2.1","2.1","515","515","515","515","515","10.3","10.3","10.3","10.3","10.3","344","344","344","344","344","6.88","6.88","6.88","6.88","6.88","552","552","552","552","552","11.04","11.04","11.04","11.04","11.04"
"Camden","Cherry Hill","6","1","71,045","71,045","71,045","71,045","71,045","71,417","71,340","71,352","71,479","71,009","0.52","0.42","0.43","0.61","-0.05","49,655","49,666","49,795","50,145","-","26,486","26,895","15,277","27,628","-","53.34","54.15","30.68","55.1","-","11,531","11,868","11,562","11,597","-","16.21","16.72","16.29","16.29","-","4,360","4,360","4,360","4,360","4,360","6.14","6.14","6.14","6.14","6.14","8,304","8,304","8,304","8,304","8,304","11.69","11.69","11.69","11.69","11.69","4,005","4,005","4,005","4,005","4,005","5.64","5.64","5.64","5.64","5.64","3,756","3,756","3,756","3,756","3,756","5.29","5.29","5.29","5.29","5.29","12,584","12,584","12,584","12,584","12,584","17.71","17.71","17.71","17.71","17.71"
"Camden","Hi-Nella","6","1","870","870","870","870","870","858","860","866","867","860","-1.38","-1.15","-0.46","-0.34","-1.15","531","537","601","577","-","96","92","75","106","-","18.08","17.13","12.48","18.37","-","81","72","92","58","-","9.91","8.66","10.28","6.74","-","131","131","131","131","131","15.06","15.06","15.06","15.06","15.06","35","35","35","35","35","4.02","4.02","4.02","4.02","4.02","92","92","92","92","92","10.57","10.57","10.57","10.57","10.57","56","56","56","56","56","6.44","6.44","6.44","6.44","6.44","81","81","81","81","81","9.31","9.31","9.31","9.31","9.31"
"Camden","Haddon Twp","6","1","14,707","14,707","14,707","14,707","14,707","14,519","14,543","14,676","14,706","14,568","-1.28","-1.12","-0.21","-0.01","-0.95","7,806","10,570","10,745","10,594","-","5,703","4,281","2,770","4,737","-","73.06","40.5","25.78","44.71","-","423","585","587","604","-","3.67","4.01","4.02","4.13","-","220","220","220","220","220","1.5","1.5","1.5","1.5","1.5","398","398","398","398","398","2.71","2.71","2.71","2.71","2.71","581","581","581","581","581","3.95","3.95","3.95","3.95","3.95","868","868","868","868","868","5.9","5.9","5.9","5.9","5.9","2,536","2,536","2,536","2,536","2,536","17.24","17.24","17.24","17.24","17.24"
"Camden","Haddon Heights","5","1","7,473","7,473","7,473","7,473","7,473","7,375","7,514","7,544","7,588","7,541","-1.31","0.55","0.95","1.54","0.91","10,610","5,353","5,421","5,527","-","4,357","2,813","1,907","3,050","-","41.07","52.55","35.18","55.18","-","652","214","218","210","-","4.46","2.85","2.9","2.79","-","84","84","84","84","84","1.12","1.12","1.12","1.12","1.12","98","98","98","98","98","1.31","1.31","1.31","1.31","1.31","198","198","198","198","198","2.65","2.65","2.65","2.65","2.65","462","462","462","462","462","6.18","6.18","6.18","6.18","6.18","1,195","1,195","1,195","1,195","1,195","15.99","15.99","15.99","15.99","15.99"
"Somerset","Bernardsville","25","7","7,707","7,707","7,707","7,707","7,707","7,756","7,801","7,805","7,815","7,686","0.64","1.22","1.27","1.4","-0.27","5,108","5,247","5,246","5,414","-","3,548","3,657","1,844","3,742","-","69.46","69.7","35.15","69.12","-","1,192","1,415","1,398","1,443","-","15.35","18.17","17.98","18.52","-","68","68","68","68","68","0.88","0.88","0.88","0.88","0.88","252","252","252","252","252","3.27","3.27","3.27","3.27","3.27","903","903","903","903","903","11.72","11.72","11.72","11.72","11.72","456","456","456","456","456","5.92","5.92","5.92","5.92","5.92","941","941","941","941","941","12.21","12.21","12.21","12.21","12.21"
"Somerset","Bernards Twp","21","7","26,652","26,652","26,652","26,652","26,652","26,857","27,010","26,978","27,061","27,205","0.77","1.34","1.22","1.53","2.07","17,527","17,622","17,714","18,006","-","12,381","12,859","6,614","13,166","-","70.64","72.97","37.34","73.12","-","4,766","5,023","5,160","5,868","-","17.75","18.62","19.1","21.71","-","504","504","504","504","504","1.89","1.89","1.89","1.89","1.89","3,679","3,679","3,679","3,679","3,679","13.8","13.8","13.8","13.8","13.8","1,054","1,054","1,054","1,054","1,054","3.95","3.95","3.95","3.95","3.95","1,389","1,389","1,389","1,389","1,389","5.21","5.21","5.21","5.21","5.21","3,588","3,588","3,588","3,588","3,588","13.46","13.46","13.46","13.46","13.46"
"Salem","Woodstown","3","2","3,505","3,505","3,505","3,505","3,505","3,454","3,524","3,484","3,454","3,447","-1.46","0.54","-0.6","-1.46","-1.65","2,370","2,351","2,260","2,184","-","1,030","994","660","908","-","43.46","42.28","29.2","41.58","-","103","102","90","98","-","2.95","2.86","2.54","2.8","-","401","401","401","401","401","11.44","11.44","11.44","11.44","11.44","41","41","41","41","41","1.17","1.17","1.17","1.17","1.17","195","195","195","195","195","5.56","5.56","5.56","5.56","5.56","190","190","190","190","190","5.42","5.42","5.42","5.42","5.42","508","508","508","508","508","14.49","14.49","14.49","14.49","14.49"
"Salem","Salem","3","2","5,146","5,146","5,146","5,146","5,146","4,971","4,894","4,824","4,774","4,747","-3.4","-4.9","-6.26","-7.23","-7.75","2,951","3,068","3,064","3,049","-","321","347","231","287","-","10.88","11.31","7.54","9.41","-","113","90","53","58","-","2.24","1.8","1.07","1.19","-","3,197","3,197","3,197","3,197","3,197","62.13","62.13","62.13","62.13","62.13","20","20","20","20","20","0.39","0.39","0.39","0.39","0.39","344","344","344","344","344","6.68","6.68","6.68","6.68","6.68","439","439","439","439","439","8.53","8.53","8.53","8.53","8.53","641","641","641","641","641","12.46","12.46","12.46","12.46","12.46"
"Salem","Quinton","3","2","2,666","2,666","2,666","2,666","2,666","2,621","2,569","2,443","2,489","2,461","-1.69","-3.64","-8.36","-6.64","-7.69","1,890","1,788","1,548","1,706","-","314","320","209","301","-","16.61","17.9","13.5","17.64","-","42","41","23","39","-","1.58","1.57","1.03","1.58","-","344","344","344","344","344","12.9","12.9","12.9","12.9","12.9","10","10","10","10","10","0.38","0.38","0.38","0.38","0.38","107","107","107","107","107","4.01","4.01","4.01","4.01","4.01","159","159","159","159","159","5.96","5.96","5.96","5.96","5.96","433","433","433","433","433","16.24","16.24","16.24","16.24","16.24"
